Dish Name,Image url,State,Cuisine,Preparation Time,Description,Diet,Ingredient
Keerai Kootu,,Tamil Nadu,South Indian,30 mins,Spinach and dal cooked with coconut,Vegetarian,"Spinach, Moong Dal, Coconut, Spices"
Hare Chane Ki Sabzi,,North India,North Indian,25 mins,Fresh green chickpeas in curry,Vegetarian,"Green Chickpeas, Tomato, Onion, Spices"
Sai Bhaji,,Sindh,Sindhi,40 mins,Spinach with lentils and vegetables,Vegetarian,"Spinach, Chana Dal, Tomato, Brinjal"
Patta Gobi Matar,,North India,North Indian,25 mins,Cabbage and green peas stir fry,Vegan,"Cabbage, Green Peas, Cumin, Turmeric"
Palak Mushroom,,Pan India,Fusion,30 mins,Spinach cooked with mushrooms,Vegetarian,"Spinach, Mushroom, Garlic, Onion, Spices"
Amaranth Sabzi,,South India,South Indian,20 mins,Amaranth leaves lightly sautéed,Vegan,"Amaranth Leaves, Garlic, Mustard Seeds, Chili"
Chaulai Bhaji,,Uttar Pradesh,North Indian,20 mins,Stir-fried chaulai greens,Vegan,"Chaulai Leaves, Garlic, Cumin, Chili"
Drumstick Leaves Sabzi,,South India,South Indian,25 mins,Drumstick leaves stir fry,Vegan,"Drumstick Leaves, Onion, Chili, Garlic"
Kale Chane Palak,,North India,North Indian,30 mins,Black chickpeas cooked with spinach,Vegetarian,"Spinach, Black Chickpeas, Tomato, Spices"
Lal Saag Bhaji,,Bihar,North Indian,20 mins,Red spinach sautéed with garlic and chilies,Vegan,"Red Spinach, Garlic, Mustard Oil, Chili"
Methi Matar Malai,,North India,North Indian,30 mins,Fenugreek leaves and peas in creamy curry,Vegetarian,"Methi Leaves, Green Peas, Cream, Spices"
Bathua Raita,,Uttar Pradesh,North Indian,20 mins,Curd mixed with boiled bathua greens,Vegetarian,"Bathua Leaves, Curd, Cumin, Salt"
Poi Saag Curry,,Odisha,Bengali/Odia,30 mins,Malabar spinach curry,Vegan,"Poi Saag, Pumpkin, Garlic, Mustard"
Kacha Kela Palak Curry,,Bihar,North Indian,30 mins,Raw banana and spinach curry,Vegetarian,"Spinach, Raw Banana, Garlic, Tomato"
Spinach Moong Dal Sabzi,,Pan India,North Indian,30 mins,Spinach with yellow moong dal,Vegetarian,"Spinach, Moong Dal, Garlic, Spices"
Hara Bhara Kabab,,Pan India,North Indian,45 mins,Green veg patties with spinach and peas,Vegetarian,"Spinach, Potato, Green Peas, Spices"
Kathal Saag Curry,,Uttar Pradesh,North Indian,40 mins,Jackfruit and greens curry,Vegetarian,"Jackfruit, Spinach, Tomato, Spices"
Zunka Bhakri with Methi,,Maharashtra,Maharashtrian,35 mins,Dry methi besan curry with jowar roti,Vegan,"Methi Leaves, Besan, Garlic, Mustard"
Lauki Palak Curry,,Pan India,North Indian,30 mins,Bottle gourd and spinach curry,Vegan,"Lauki, Spinach, Tomato, Cumin"
Palak Kofta Curry,,North India,North Indian,45 mins,Spinach dumplings in gravy,Vegetarian,"Spinach, Gram Flour, Tomato, Spices"
Dill Leaves Sabzi,,South India,South Indian,25 mins,Aromatic dill leaves stir-fried,Vegan,"Dill Leaves, Garlic, Cumin, Oil"
Spinach and Tofu Stir Fry,,Fusion,Asian-Indian,20 mins,Healthy spinach and tofu sauté,Vegetarian/Vegan,"Spinach, Tofu, Garlic, Soy Sauce"
Gongura Pappu,,Andhra Pradesh,South Indian,35 mins,Red sorrel leaves cooked with dal,Vegetarian,"Gongura Leaves, Toor Dal, Garlic, Green Chili"
Kheer,,Pan India,Indian Dessert,40 mins,Rice pudding made with milk and sugar,Vegetarian,"Rice, Milk, Sugar, Cardamom, Nuts"
Paneer Butter Masala,,North India,Indian,45 mins,Cottage cheese in creamy tomato-based gravy,Vegetarian,"Paneer, Milk, Tomato, Butter, Spices"
Rabri,,North India,Indian Dessert,1 hr,Thickened sweetened milk dessert,Vegetarian,"Milk, Sugar, Cardamom, Saffron, Nuts"
Palak Paneer,,North India,Indian,30 mins,Spinach curry with paneer in creamy base,Vegetarian,"Spinach, Paneer, Milk, Garlic, Spices"
Masala Chai,,Pan India,Indian Beverage,15 mins,Spiced milk tea,Vegetarian,"Milk, Tea Leaves, Ginger, Cardamom"
Basundi,,Maharashtra,Gujarat/Marathi,1 hr,Sweet thickened milk dessert,Vegetarian,"Milk, Sugar, Cardamom, Nuts"
Doodh Peda,,North India,Indian Sweet,1 hr,Milk fudge balls with cardamom,Vegetarian,"Milk, Sugar, Cardamom, Ghee"
Milk Cake,,North India,Indian Sweet,2 hrs,Caramelized milk sweet,Vegetarian,"Milk, Sugar, Lemon Juice, Ghee"
Sheer Khurma,,Hyderabad,Indian Dessert,40 mins,Festive vermicelli pudding with dates and milk,Vegetarian,"Milk, Vermicelli, Dates, Nuts"
Shahi Tukda,,Lucknow,North Indian,45 mins,Fried bread in sweetened milk with nuts,Vegetarian,"Bread, Milk, Sugar, Ghee, Nuts"
Rasmalai,,Bengal,Indian Dessert,1.5 hrs,Soft paneer balls soaked in flavored milk,Vegetarian,"Milk, Lemon, Sugar, Cardamom, Saffron"
Doodhpak,,Gujarat,Gujarati,40 mins,Gujarati rice pudding,Vegetarian,"Rice, Milk, Sugar, Nutmeg, Cardamom"
Kulfi,,Pan India,Indian Dessert,6 hrs,Traditional frozen milk dessert,Vegetarian,"Milk, Sugar, Cardamom, Saffron"
Lassi,,Punjab,North Indian,10 mins,Curd-based drink made with milk or cream,Vegetarian,"Milk, Yogurt, Sugar, Cardamom"
Khoya Burfi,,North India,Indian Sweet,1 hr,Milk solids-based sweet fudge,Vegetarian,"Khoya, Milk, Sugar, Cardamom"
Custard,,Global,Western Dessert,20 mins,Milk thickened with custard powder,Vegetarian,"Milk, Sugar, Custard Powder, Vanilla"
Milk Roti,,Maharashtra,Indian,20 mins,Soft rotis made with milk instead of water,Vegetarian,"Wheat Flour, Milk, Salt, Ghee"
Creamy Pasta,,Global,Italian/Continental,30 mins,Pasta cooked in milk-based white sauce,Vegetarian,"Pasta, Milk, Flour, Butter, Cheese"
Hot Chocolate,,Global,Beverage,10 mins,Chocolate drink made with milk,Vegetarian,"Milk, Cocoa Powder, Sugar"
Cereal with Milk,,Global,Breakfast,5 mins,Simple cereal served with milk,Vegetarian,"Cereal, Milk"
Upma with Milk,,South India,Fusion,25 mins,Semolina upma cooked in milk for creaminess,Vegetarian,"Semolina, Milk, Mustard Seeds, Curry Leaves"
Besan Milk,,North India,Ayurvedic,20 mins,Roasted gram flour in hot milk,Vegan/Vegetarian,"Milk, Besan, Ghee, Cardamom"
Doodhi Halwa,,Pan India,Indian Dessert,45 mins,Lauki cooked in milk and sugar,Vegetarian,"Bottle Gourd, Milk, Sugar, Ghee"
Seviyan Kheer,,Pan India,Indian Dessert,30 mins,Vermicelli pudding cooked in milk,Vegetarian,"Vermicelli, Milk, Sugar, Cardamom"
Malpua,,Odisha/Bihar,Indian Sweet,1 hr,Pancakes soaked in sweetened milk,Vegetarian,"Flour, Milk, Sugar, Fennel, Ghee"
Milk Rasgulla,,Bengal,Indian Dessert,1 hr,Spongy milk-based sweet balls,Vegetarian,"Milk, Lemon Juice, Sugar"
Pancakes with Milk,,Global,Western,20 mins,Soft breakfast pancakes made with milk,Vegetarian,"Flour, Milk, Egg, Baking Powder"
Milk Dal Khichdi,,Bihar,Indian,30 mins,Khichdi made with dal and milk,Vegetarian,"Rice, Moong Dal, Milk, Salt, Turmeric"
Thandai,,North India,Indian Beverage,30 mins,Cool milk drink with spices and nuts,Vegetarian,"Milk, Almonds, Poppy Seeds, Cardamom, Sugar"
Rava Kesari with Milk,,South India,Indian Sweet,30 mins,Sweet semolina pudding with milk,Vegetarian,"Rava, Milk, Sugar, Ghee, Cardamom"
Masala Chai,,India,Indian,10 mins,Spiced black tea with milk and sugar,Vegetarian,"Tea Leaves, Milk, Ginger, Cardamom"
Lassi,,Punjab,Indian,10 mins,Cool yogurt-based sweet or salty drink,Vegetarian,"Yogurt, Sugar/Salt, Cardamom"
Thandai,,Uttar Pradesh,Indian,20 mins,Spiced milk drink with nuts and saffron,Vegetarian,"Milk, Almonds, Poppy Seeds, Cardamom"
Filter Coffee,,Tamil Nadu,South Indian,10 mins,Strong coffee with milk and sugar,Vegetarian,"Coffee Decoction, Milk, Sugar"
Aam Panna,,North India,Indian,15 mins,Raw mango cooler with mint and spices,Vegan,"Raw Mango, Mint, Cumin, Sugar"
Jaljeera,,North India,Indian,10 mins,Tangy spiced water with cumin and mint,Vegan,"Mint, Cumin, Tamarind, Black Salt"
Badam Milk,,Pan India,Indian,15 mins,Milk drink flavored with almonds and cardamom,Vegetarian,"Milk, Almonds, Sugar, Cardamom"
Nimbu Pani,,Pan India,Indian,5 mins,Lemonade with salt or sugar,Vegan,"Lemon, Water, Sugar/Salt, Mint"
Rose Milk,,Tamil Nadu,Indian,5 mins,Chilled milk with rose syrup,Vegetarian,"Milk, Rose Syrup, Sugar"
Solkadhi,,Maharashtra,Indian,10 mins,Refreshing drink with kokum and coconut milk,Vegan,"Kokum, Coconut Milk, Garlic, Chili"
Coconut Water,,Kerala,Indian,0 mins,Natural hydrating drink from tender coconut,Vegan,Coconut Water
Chaas,,Gujarat,Indian,5 mins,Spiced buttermilk,Vegan,"Yogurt, Water, Cumin, Salt"
Sugarcane Juice,,Pan India,Street Food,5 mins,Natural juice from crushed sugarcane,Vegan,"Sugarcane, Lemon, Ginger"
Kokum Sharbat,,Maharashtra,Indian,10 mins,Sweet and tangy kokum drink,Vegan,"Kokum, Sugar, Cumin"
Sattu Sharbat,,Bihar,Indian,5 mins,Protein-rich roasted gram flour drink,Vegan,"Sattu, Water, Lemon, Salt"
Bel Sharbat,,North India,Indian,15 mins,Sweet drink made from bael fruit pulp,Vegan,"Bael Fruit, Water, Jaggery"
Falooda,,North India,Indian,20 mins,Dessert drink with milk,basil seeds,"vermicelli, Vegetarian, Milk, Sabja Seeds, Vermicelli, Rose Syrup"
Cold Coffee,,Global,Western,10 mins,Chilled coffee with milk and ice,Vegetarian,"Coffee, Milk, Sugar, Ice"
Hot Chocolate,,Global,Western,10 mins,Rich cocoa drink with milk,Vegetarian,"Milk, Cocoa Powder, Sugar"
Milkshake (Banana),,Global,Western,5 mins,Chilled banana drink with milk,Vegetarian,"Banana, Milk, Sugar"
Milkshake (Strawberry),,Global,Western,5 mins,Cold strawberry-flavored milkshake,Vegetarian,"Strawberry, Milk, Sugar"
Smoothie (Mango),,Global,Western,5 mins,Thick mango and yogurt-based drink,Vegetarian,"Mango, Yogurt, Honey"
Smoothie (Berry),,Global,Western,5 mins,Mixed berry and milk smoothie,Vegetarian,"Berries, Milk, Honey"
Mint Mojito,,Global,Mocktail,5 mins,Refreshing lime and mint drink,Vegan,"Lemon, Mint, Sugar, Soda"
Orange Juice,,Global,Western,5 mins,Freshly squeezed orange juice,Vegan,Oranges
Pineapple Juice,,Global,Western,5 mins,Sweet tropical fruit juice,Vegan,Pineapple
Carrot Juice,,Global,Health Drink,10 mins,Nutrient-rich carrot juice,Vegan,"Carrots, Ginger, Lemon"
Beetroot Juice,,Global,Health Drink,10 mins,Red detoxifying juice,Vegan,"Beetroot, Lemon, Ginger"
Green Juice,,Global,Health Drink,10 mins,Juice made from spinach,cucumber,"and apple, Vegan, Spinach, Cucumber, Apple"
Barley Water,,India,Ayurvedic,20 mins,Cooling drink made with barley and lemon,Vegan,"Barley, Water, Lemon, Salt"
Turmeric Milk (Haldi Doodh),,India,Ayurvedic,10 mins,Golden milk with turmeric,Vegetarian,"Milk, Turmeric, Pepper, Honey"
Cucumber Mint Cooler,,Global,Summer Drink,10 mins,Hydrating cucumber and mint cooler,Vegan,"Cucumber, Mint, Lemon"
Apple Cider (Non-Alcoholic),,USA,Western,15 mins,Warm apple drink with spices,Vegan,"Apple Juice, Cinnamon, Clove"
Kombucha,,Global,Fermented,3-5 days,Fizzy fermented tea drink,Vegan,"Tea, Sugar, SCOBY"
Iced Tea,,Global,Western,10 mins,Chilled black tea with lemon and sugar,Vegan,"Tea, Lemon, Sugar, Ice"
Cranberry Punch,,Global,Mocktail,10 mins,Fruity party punch with cranberry and orange,Vegan,"Cranberry Juice, Orange Juice, Soda"
Avocado Smoothie,,Global,Health Drink,10 mins,Creamy smoothie with avocado and milk,Vegetarian,"Avocado, Milk, Honey"
Ginger Tea,,India,Indian,10 mins,Herbal tea made with ginger and spices,Vegan,"Ginger, Water, Lemon, Honey"
Tamarind Juice,,Africa/India,Fusion,10 mins,Tangy juice made from tamarind pulp,Vegan,"Tamarind, Sugar, Water"
Masala Soda,,India,Street Food,5 mins,Spiced carbonated drink,Vegan,"Lemon, Black Salt, Cumin, Soda Water"
Lemon Grass Tea,,India/Southeast Asia,Herbal,10 mins,Fragrant herbal tea with lemongrass,Vegan,"Lemongrass, Water, Honey"
Urad Dal Papad,,Rajasthan,North Indian,2 days,Classic papad made from black gram flour,Gluten-Free,"Vegan, Urad Dal Flour, Black Pepper, Salt"
Moong Dal Papad,,Gujarat,Gujarati,2 days,Light papad made from moong dal flour,Vegan,"Moong Dal Flour, Asafoetida, Salt"
Chana Dal Papad,,Maharashtra,Maharashtrian,2 days,Crunchy papad with chana dal flour,Vegan,"Chana Dal Flour, Red Chili, Salt"
Rice Papad,,Tamil Nadu,South Indian,2 days,Crispy sun-dried papad made from rice flour,Gluten-Free,"Vegan, Rice Flour, Cumin, Salt"
Sabudana Papad,,Maharashtra,Maharashtrian,2 days,Translucent papad made with tapioca pearls,Gluten-Free,"Vegan, Sabudana, Cumin, Green Chili, Salt"
Masala Papad,,Pan India,Indian,5 mins,Fried papad topped with chopped onion,tomato,"chili, Vegan, Urad Dal Papad, Onion, Tomato, Coriander"
Palak Papad,,Uttar Pradesh,North Indian,2 days,Green leafy papad made with spinach,Vegan,"Spinach, Urad Flour, Chili, Salt"
Aloo Papad,,Bihar/North India,North Indian,2 days,Potato-based papad dried and fried,Vegan,"Boiled Potatoes, Cumin, Salt"
Ragi Papad,,Karnataka,South Indian,2 days,Millet-based healthy papad,Vegan,"Ragi Flour, Green Chili, Salt"
Garlic Papad,,Madhya Pradesh,Malwa Cuisine,2 days,Garlic-flavored black gram papad,Vegan,"Urad Dal Flour, Garlic Paste, Black Pepper"
Jeera Papad,,Rajasthan,North Indian,2 days,Crispy papad with cumin seed flavor,Vegan,"Urad Dal Flour, Cumin Seeds, Salt"
Til Papad,,Odisha/Eastern India,Eastern,2 days,Papad made with black sesame seeds,Vegan,"Rice Flour, Sesame Seeds, Salt"
Green Chili Papad,,Gujarat,Gujarati,2 days,Spicy papad infused with green chili,Vegan,"Moong Dal Flour, Green Chili, Asafoetida"
Khichiya Papad,,Gujarat,Gujarati,2 days,Puffed rice flour-based papad often roasted,Vegan,"Rice Flour, Cumin Seeds, Salt"
Jackfruit Papad (Kathal Papad),,Karnataka,South Indian,3 days,Seasonal papad made with ripe jackfruit pulp,Vegan,"Jackfruit Pulp, Rice Flour, Jaggery"
Beetroot Papad,,Maharashtra,Fusion,2 days,Colorful papad made with beetroot juice,Vegan,"Beetroot, Urad Flour, Chili, Salt"
Carrot Papad,,Kerala/South India,South Indian,2 days,Vegetable papad made with carrot puree,Vegan,"Carrot, Rice Flour, Salt"
Methi Papad,,Gujarat,Gujarati,2 days,Papad flavored with fenugreek leaves,Vegan,"Moong Dal Flour, Dried Methi, Salt"
Corn Papad,,Punjab/North India,North Indian,2 days,Sun-dried papad made with corn flour,Vegan,"Corn Flour, Black Pepper, Salt"
Mixed Dal Papad,,Rajasthan,North Indian,2 days,Combination of different lentils for richer flavor,Vegan,"Urad Dal, Moong Dal, Spices, Salt"
Vanilla Ice Cream,,Global,Western,8 hrs,Classic ice cream flavored with vanilla,Vegetarian,"Milk, Cream, Sugar, Vanilla Extract"
Chocolate Ice Cream,,Global,Western,8 hrs,Creamy ice cream with cocoa flavor,Vegetarian,"Milk, Cream, Cocoa Powder, Sugar"
Strawberry Ice Cream,,Global,Western,8 hrs,Fruity ice cream made with real strawberries,Vegetarian,"Milk, Cream, Strawberries, Sugar"
Mango Ice Cream,,India,Indian,8 hrs,Seasonal favorite with ripe mangoes,Vegetarian,"Milk, Cream, Mango Pulp, Sugar"
Kulfi,,India,Indian,6 hrs,Traditional dense milk-based Indian ice cream,Vegetarian,"Milk, Cardamom, Nuts, Sugar"
Pista Kulfi,,India,Indian,6 hrs,Kulfi flavored with pistachios and cardamom,Vegetarian,"Milk, Pistachios, Cardamom, Sugar"
Malai Kulfi,,India,Indian,6 hrs,Rich and creamy kulfi with thickened milk,Vegetarian,"Milk, Cream, Sugar, Cardamom"
Rose Ice Cream,,India/Global,Indian Fusion,6 hrs,Ice cream flavored with rose syrup,Vegetarian,"Milk, Cream, Rose Syrup, Sugar"
Kesar Pista Ice Cream,,India,Indian,6 hrs,Ice cream infused with saffron and pistachio,Vegetarian,"Milk, Cream, Saffron, Pistachio"
Tender Coconut Ice Cream,,Kerala,Indian,6 hrs,Delicate flavor of fresh coconut,Vegetarian,"Tender Coconut, Coconut Milk, Sugar, Cream"
Butterscotch Ice Cream,,Global,Western,6 hrs,Sweet caramelized flavor with crunchy bits,Vegetarian,"Milk, Cream, Sugar, Butterscotch Essence"
Coffee Ice Cream,,Global,Western,6 hrs,Bold and creamy ice cream with coffee flavor,Vegetarian,"Milk, Cream, Sugar, Instant Coffee"
Sitaphal Ice Cream,,India,Indian,6 hrs,Seasonal ice cream made with custard apple,Vegetarian,"Custard Apple, Milk, Sugar, Cream"
Chikoo Ice Cream,,India,Indian,6 hrs,Natural fruit ice cream made with sapota,Vegetarian,"Chikoo, Milk, Sugar, Cream"
Jamun Ice Cream,,India,Indian,6 hrs,Rich purple ice cream made from java plum,Vegetarian,"Jamun Pulp, Milk, Sugar, Cream"
Pan Ice Cream,,India,Indian,6 hrs,Flavored with betel leaf and gulkand,Vegetarian,"Betel Leaf, Gulkand, Milk, Cream, Sugar"
Black Currant Ice Cream,,Global,Western,6 hrs,Fruity and tart ice cream,Vegetarian,"Black Currants, Milk, Cream, Sugar"
Avocado Ice Cream,,Global,Fusion/Healthy,6 hrs,Creamy ice cream with avocado base,Vegan/Vegetarian,"Avocado, Coconut Milk, Sugar"
Oreo Ice Cream,,Global,Western,6 hrs,Ice cream blended with crushed Oreo cookies,Vegetarian,"Milk, Cream, Oreo Biscuits, Sugar"
Caramel Swirl Ice Cream,,Global,Western,6 hrs,Vanilla base with ribbons of caramel,Vegetarian,"Milk, Cream, Sugar, Caramel Sauce"
Honey Almond Ice Cream,,Global,Fusion,6 hrs,Ice cream flavored with honey and toasted almonds,Vegetarian,"Milk, Cream, Honey, Almonds"
Green Tea Ice Cream,,Japan,Asian,6 hrs,Delicate ice cream made with matcha,Vegetarian,"Milk, Cream, Matcha Powder, Sugar"
Lychee Ice Cream,,India/China,Asian/Indian,6 hrs,Exotic tropical flavor using lychee,Vegetarian,"Lychee, Milk, Cream, Sugar"
Peppermint Ice Cream,,Global,Western,6 hrs,Refreshing mint-flavored ice cream,Vegetarian,"Milk, Cream, Sugar, Peppermint Extract"
Banana Ice Cream,,Global,Western,6 hrs,Naturally sweetened banana-based ice cream,Vegetarian,"Banana, Milk, Cream, Sugar"
Fig & Honey Ice Cream,,India,Fusion,6 hrs,Dried figs and honey create a rich flavor,Vegetarian,"Dried Figs, Honey, Milk, Cream"
Chocolate Chip Ice Cream,,Global,Western,6 hrs,Vanilla base with chocolate chips,Vegetarian,"Milk, Cream, Chocolate Chips, Sugar"
Salted Caramel Ice Cream,,Global,Western,6 hrs,Caramel ice cream with a salty twist,Vegetarian,"Milk, Cream, Caramel, Sea Salt"
Blueberry Ice Cream,,Global,Western,6 hrs,Smooth and fruity ice cream with blueberries,Vegetarian,"Blueberries, Milk, Cream, Sugar"
Dragon Fruit Ice Cream,,India/Fusion,Exotic/Healthy,6 hrs,Colorful and mildly sweet ice cream,Vegetarian,"Dragon Fruit, Milk, Cream, Sugar"
Cheesecake Ice Cream,,Global,Western,6 hrs,Rich creamy ice cream with cheesecake flavor,Vegetarian,"Cream Cheese, Milk, Sugar, Vanilla"
Black Forest Cake,,Germany,European,1.5 hrs,Chocolate sponge with cream and cherries,Vegetarian,"Flour, Cocoa Powder, Cherries, Cream, Sugar"
Pineapple Upside Down Cake,,USA,Western,1 hr,Cake baked with caramelized pineapple on top,Vegetarian,"Flour, Pineapple, Sugar, Butter"
Red Velvet Cake,,USA,Western,1.5 hrs,Creamy red-colored chocolate cake,Vegetarian,"Flour, Cocoa, Buttermilk, Food Color, Cream Cheese"
Chocolate Truffle Cake,,Global,Western,2 hrs,Rich dark chocolate layered cake,Vegetarian,"Chocolate, Cream, Flour, Sugar, Butter"
Sponge Cake,,Global,Western,1 hr,Light airy cake used as base for many types,Vegetarian,"Eggs, Sugar, Flour, Vanilla"
Vanilla Cake,,Global,Western,1 hr,Classic simple vanilla flavored cake,Vegetarian,"Flour, Sugar, Vanilla, Butter, Eggs"
Fruit Cake,,UK,Western,2 hrs,Dried fruits and nuts baked in rich batter,Vegetarian,"Flour, Dried Fruits, Nuts, Spices"
Carrot Cake,,USA,Western,1.5 hrs,Moist cake with grated carrots and spices,Vegetarian,"Carrot, Flour, Sugar, Cinnamon, Walnuts"
Cheesecake,,USA,Western,3 hrs,Baked or chilled cake with cream cheese base,Vegetarian,"Cream Cheese, Biscuit Base, Sugar, Cream"
Lemon Drizzle Cake,,UK,Western,1 hr,Light sponge cake with lemon syrup,Vegan/Vegetarian,"Lemon, Flour, Sugar, Oil/Butter"
Marble Cake,,Global,Western,1.5 hrs,Swirled vanilla and chocolate batter cake,Vegetarian,"Flour, Cocoa, Butter, Eggs, Sugar"
Tiramisu Cake,,Italy,European,3 hrs,Coffee-flavored layered Italian cake,Vegetarian,"Mascarpone, Ladyfingers, Coffee, Cocoa"
Opera Cake,,France,French,3 hrs,Almond sponge layered with coffee cream,Vegetarian,"Almond Flour, Coffee, Chocolate, Cream"
Banana Cake,,Global,Western,1.5 hrs,Moist cake with mashed ripe bananas,Vegan/Vegetarian,"Banana, Flour, Sugar, Oil, Baking Soda"
Rasmalai Cake,,India,Indian Fusion,2 hrs,Fusion cake flavored with rasmalai and saffron,Vegetarian,"Rasmalai, Milk, Saffron, Flour, Cream"
Gulab Jamun Cake,,India,Indian Fusion,2 hrs,Indian sweet cake with gulab jamun pieces,Vegetarian,"Gulab Jamun, Flour, Cardamom, Cream"
Mawa Cake,,India,Parsi/Indian,1.5 hrs,Rich cake made with khoya and cardamom,Vegetarian,"Khoya, Flour, Sugar, Cardamom"
Honey Cake,,India,Indian Bakery,1 hr,Jam and honey soaked sponge cake,Vegetarian,"Flour, Honey, Jam, Coconut"
Biscoff Cake,,Global,Western,2 hrs,Cake layered with Biscoff spread and crumbs,Vegetarian,"Biscoff Spread, Flour, Cream, Sugar"
Coffee Walnut Cake,,UK,Western,1.5 hrs,Moist cake with coffee flavor and walnuts,Vegetarian,"Coffee, Walnuts, Flour, Eggs"
Choco Lava Cake,,Global,Western,30 mins,Mini cake with molten chocolate center,Vegetarian,"Chocolate, Butter, Flour, Sugar"
Plum Cake,,India,Christmas/Indian,3 hrs,Rich fruit cake with soaked dry fruits,Vegetarian,"Flour, Dried Fruits, Rum (opt), Spices"
Molten Mocha Cake,,Global,Western,45 mins,Cake with melted coffee chocolate center,Vegetarian,"Coffee, Chocolate, Flour, Sugar"
Date and Walnut Cake,,Middle East,Western,1.5 hrs,Nutty cake with sweetness from dates,Vegetarian,"Dates, Walnuts, Flour, Sugar"
Saffron Milk Cake,,India,Fusion,2 hrs,Milk-soaked sponge with saffron,Vegetarian,"Milk, Saffron, Flour, Sugar, Cardamom"
Orange Pound Cake,,USA,Western,1.5 hrs,Dense cake flavored with orange zest,Vegetarian,"Orange, Flour, Eggs, Butter"
Coconut Cake,,Southern USA,Western,2 hrs,Coconut flavored white layered cake,Vegetarian,"Coconut, Flour, Milk, Cream"
Besan Cake,,India,Indian,1 hr,Gram flour sweet cake,Vegetarian,"Besan, Ghee, Sugar, Cardamom"
Butter Cake,,Global,Western,1 hr,Classic cake with rich buttery flavor,Vegetarian,"Butter, Sugar, Eggs, Flour"
Yogurt Cake,,France,French,1 hr,Light cake made using yogurt as base,Vegetarian,"Yogurt, Flour, Sugar, Lemon"
Dish Name,,State/Country,Cuisine,Preparation Time,Description,Diet,Ingredients
Aloo Tamatar Ki Sabzi,,Uttar Pradesh,North Indian,25 mins,Simple potato curry in tomato gravy,Vegan,"Potato, Tomato, Cumin, Turmeric, Salt"
Moong Dal Tadka,,Pan India,North Indian,30 mins,Yellow lentils tempered with garlic and ghee,Vegetarian,"Moong Dal, Ghee, Cumin, Garlic, Turmeric"
Bhindi Masala,,Pan India,North Indian,30 mins,Okra stir-fried with onions and spices,Vegan,"Okra, Onion, Mustard Seeds, Turmeric, Chili"
Cabbage Stir Fry (Patta Gobi),,Bihar,North Indian,20 mins,Quick sautéed cabbage dish,Vegan,"Cabbage, Mustard Seeds, Green Chili, Salt"
Aloo Paratha,,Punjab,North Indian,30 mins,Stuffed flatbread with spiced potatoes,Vegetarian,"Wheat Flour, Potato, Coriander, Ghee"
Tinda Masala,,Delhi,North Indian,25 mins,Round gourd cooked with simple spices,Vegan,"Tinda, Onion, Tomato, Cumin, Chili"
Lauki Chana Dal,,Uttar Pradesh,North Indian,30 mins,Bottle gourd and split chickpea curry,Vegetarian,"Bottle Gourd, Chana Dal, Garlic, Turmeric"
Baingan Bharta,,Punjab,North Indian,35 mins,Roasted brinjal mashed with spices and onion,Vegan,"Brinjal, Onion, Tomato, Mustard Oil"
Poha,,Madhya Pradesh,Indian Breakfast,20 mins,Flattened rice cooked with peanuts and spices,Vegan,"Poha, Mustard Seeds, Onion, Lemon"
Seviyan Upma,,South India,Fusion,20 mins,Savory vermicelli cooked with vegetables,Vegan,"Vermicelli, Mustard Seeds, Carrot, Onion"
Besan Chilla,,Pan India,Indian,15 mins,Gram flour pancake with herbs and spices,Vegan,"Besan, Onion, Coriander, Chili"
Tamatar Sev Sabzi,,Rajasthan,Rajasthani,20 mins,Tomato-based curry with fried gram noodles,Vegetarian,"Tomato, Sev, Cumin, Turmeric"
Khichdi,,Pan India,Indian Comfort Food,30 mins,One-pot rice and dal comfort dish,Vegetarian,"Moong Dal, Rice, Ghee, Cumin"
Roti Pizza,,Fusion,Indian Fusion,15 mins,Chapati topped with veggies and cheese,Vegetarian,"Chapati, Tomato, Onion, Cheese"
Anda Bhurji,,Pan India,North Indian,15 mins,Spicy scrambled eggs,Non-Vegetarian,"Eggs, Onion, Tomato, Chili, Turmeric"
Sookhi Arbi,,Uttar Pradesh,North Indian,25 mins,Dry colocasia root masala sabzi,Vegan,"Arbi, Carom Seeds, Mustard Oil, Chili"
Karela Fry,,Bihar,North Indian,30 mins,Fried bitter gourd with onions,Vegan,"Karela, Onion, Mustard Oil, Salt, Chili"
Jeera Aloo,,Pan India,North Indian,20 mins,Simple cumin-spiced potatoes,Vegan,"Potato, Cumin Seeds, Turmeric, Salt"
Chana Masala,,Delhi,North Indian,40 mins,Chickpeas cooked in tomato onion gravy,Vegan,"Chana, Onion, Tomato, Spices"
Masala Daliya,,Pan India,Healthy Indian,30 mins,Spiced cracked wheat porridge,Vegetarian,"Daliya, Tomato, Carrot, Spices"
Tamarind Rice,,Tamil Nadu,South Indian,30 mins,Rice mixed with tamarind and spices,Vegan,"Rice, Tamarind, Mustard, Curry"
Chawal + Achar,,Pan India,Simple Indian,5 mins,Boiled rice served with pickle,Vegan,"Rice, Pickle, Salt"
Bread Upma,,Pan India,Fusion,15 mins,Quick upma with leftover bread and vegetables,Vegan,"Bread, Onion, Tomato, Spices"
Seviyan (Sweet),,Pan India,Indian Dessert,20 mins,Roasted vermicelli sweetened with sugar,Vegetarian,"Vermicelli, Milk, Sugar, Cardamom"
